WaveRowId	WaveGroupId	WaveIndex	EnemyId	Count	SpawnStartSec	SpawnIntervalSec	LaneId	IsBossWave
810001	8001	1	1101	4	0.0	0.65	1	FALSE
810002	8001	2	1102	4	40.0	0.65	2	FALSE
810003	8001	3	1301	1	80.0	0.0	1	TRUE
810004	8001	3	1201	1	80.35	0.0	1	TRUE
810005	8001	3	1201	1	80.35	0.0	2	TRUE
810006	8001	4	1103	4	110.0	0.7	1	FALSE
810101	8002	1	1101	5	0.0	0.6	1	FALSE
810102	8002	2	1102	5	40.0	0.65	2	FALSE
810103	8002	3	1103	6	80.0	0.55	1	FALSE
810104	8002	4	1301	1	110.0	0.0	1	TRUE
810105	8002	4	1201	1	110.35	0.0	1	TRUE
810106	8002	4	1201	1	110.35	0.0	2	TRUE
810201	8003	1	1102	6	0.0	0.6	1	FALSE
810202	8003	2	1103	6	40.0	0.55	2	FALSE
810203	8003	3	1301	1	80.0	0.0	1	TRUE
810204	8003	3	1201	1	80.35	0.0	1	TRUE
810205	8003	3	1201	1	80.35	0.0	2	TRUE
810206	8003	4	1104	8	110.0	0.45	1	FALSE
810301	8004	1	1101	8	0.0	0.45	1	FALSE
810302	8004	2	1104	8	40.0	0.45	2	FALSE
810303	8004	3	1103	10	80.0	0.4	1	FALSE
810304	8004	4	1301	1	110.0	0.0	1	TRUE
810305	8004	4	1201	1	110.35	0.0	1	TRUE
810306	8004	4	1201	1	110.35	0.0	2	TRUE
